feature_set,n_blocks,mask_mode,classifier,classifier_params,k_features,n_features,accuracy,macro_f1,balanced_accuracy
contrast+abcd_v2+boundary,3,raw,lgbm,"n=300,lv=7,lr=0.03",100,79,0.7116666666666667,0.7388884870487195,0.7534391534391535
contrast+abcd_v2+boundary,3,raw,lgbm,"n=300,lv=7,lr=0.03",all,79,0.7116666666666667,0.7388884870487195,0.7534391534391535
all+contrast+abcd_v2,3,raw,xgb,"n=150,d=2,lr=0.05",100,164,0.72,0.7381709889945687,0.7533862433862434
all+contrast+melnv,3,raw,lgbm,"n=300,lv=7,lr=0.03",100,214,0.7333333333333333,0.7464065768035053,0.7533333333333334
all+contrast+boundary,3,raw,xgb,"n=200,d=3,lr=0.05",all,155,0.74,0.7534179437618257,0.7532804232804233
all+contrast+boundary,3,raw,xgb,"n=200,d=3,lr=0.05",100,155,0.7383333333333333,0.7535392581457222,0.7531216931216932
contrast+abcd_v2+melnv,3,raw,xgb,"n=200,d=3,lr=0.05",100,138,0.72,0.740277719157557,0.7529100529100529
contrast+abcd_v2+melnv,3,raw,xgb,"n=300,d=3,lr=0.03",all,138,0.7283333333333334,0.7487506117496475,0.7528042328042329
contrast+abcd_v2,2,raw,xgb,"n=200,d=3,lr=0.05",100,61,0.7183333333333334,0.7445285944498119,0.7524867724867725
contrast+abcd_v2,2,raw,xgb,"n=200,d=3,lr=0.05",all,61,0.7183333333333334,0.7445285944498119,0.7524867724867725
all+boundary+melnv,3,raw,xgb,"n=200,d=3,lr=0.05",all,198,0.7316666666666667,0.7483462021846558,0.7524338624338625
abcd_v2+boundary+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",100,122,0.71,0.7365811695620407,0.7523809523809524
abcd_v2+melnv,2,raw,xgb,"n=200,d=3,lr=0.05",all,104,0.7216666666666667,0.741740487124444,0.7523809523809524
all+contrast+melnv,3,raw,xgb,"n=150,d=2,lr=0.05",all,214,0.735,0.748359540833022,0.7523280423280424
