stage2_xgb_variant,stage2_k_features,cascade_mode,seed,balanced_accuracy,macro_f1,accuracy
d2-more-trees,80,soft,2024,0.7596296296296297,0.7369351043381572,0.71
slow-learner,160,soft,2024,0.7594708994708995,0.7371205581527448,0.7083333333333334
slow-learner,160,hard@0.4,2024,0.7594708994708995,0.7371205581527448,0.7083333333333334
slow-learner,all,hard@0.4,2024,0.7591534391534392,0.7376305016592787,0.71
d2-more-trees,all,soft,2024,0.758994708994709,0.7359325774036316,0.7083333333333334
less-reg,80,soft,2024,0.758941798941799,0.7397265681637205,0.715
d2-more-trees,160,soft,2024,0.7582010582010582,0.7350656234377165,0.705
d2-more-trees,160,hard@0.4,2024,0.7582010582010582,0.7350656234377165,0.705
slow-learner,all,soft,2024,0.7564550264550265,0.7329039339655777,0.7066666666666667
d3-mid,100,hard@0.4,3407,0.7623809523809525,0.7413942550347482,0.7233333333333334
d3-more-trees,120,hard@0.4,3407,0.7595238095238095,0.7379250413989031,0.7183333333333334
strong-reg,80,hard@0.4,3407,0.7592063492063493,0.7364197698445017,0.715
d2-more-trees,120,hard@0.4,3407,0.7576190476190477,0.7349306287319987,0.7133333333333334
slow-learner,120,hard@0.4,3407,0.7576190476190477,0.7349306287319987,0.7133333333333334
d3-more-trees,120,soft,3407,0.7569312169312169,0.7378207861892193,0.7183333333333334
less-reg,100,hard@0.4,3407,0.756825396825397,0.7351628126670285,0.715
strong-reg,80,soft,3407,0.7566137566137566,0.7363178472393489,0.715
d3-mid,100,soft,3407,0.756084656084656,0.7387805826452479,0.7216666666666667
strong-reg,100,hard@0.4,3407,0.7555555555555555,0.7333055940822931,0.7116666666666667
strong-reg,120,hard@0.4,3407,0.7555555555555555,0.7330785422609135,0.7116666666666667
slow-learner,80,hard@0.4,3407,0.7555555555555555,0.7333055940822931,0.7116666666666667
slow-learner,100,hard@0.4,3407,0.7550793650793651,0.7329347857517586,0.7116666666666667
d2-more-trees,120,soft,3407,0.755026455026455,0.734829601129554,0.7133333333333334
slow-learner,120,soft,3407,0.755026455026455,0.734829601129554,0.7133333333333334
d2-more-trees,100,hard@0.4,3407,0.7544444444444446,0.7319408858331546,0.71
d3-more-trees,100,hard@0.4,3407,0.7542857142857143,0.7330746490512876,0.7133333333333334
less-reg,100,soft,3407,0.7542328042328043,0.7350601818317625,0.715
deeper,100,hard@0.4,3407,0.7531746031746032,0.7318345795700311,0.7116666666666667
strong-reg,100,soft,3407,0.752962962962963,0.7330897145443797,0.7116666666666667
strong-reg,120,soft,3407,0.752962962962963,0.732973408608642,0.7116666666666667
